"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"10681",1736.91149338196,-12.4731842345355,0.687394143956889,-18.1456073552435,1.39089081286512e-73,3.92479582587403e-70,"MT-TY"
"18745",2167.09709928154,-9.13657284028964,0.555813394063543,-16.4382019898663,1.01897451866875e-60,2.11866254526363e-57,NA
"14953",2010.20204744091,-8.95108939215017,0.427941307546564,-20.916628599066,3.77903789624109e-97,2.98581784182009e-93,"SCARNA10"
"9841",119.595271573745,-8.64910947861572,0.575023003393827,-15.0413277861373,3.93575905478469e-51,5.75859857256553e-48,"RN7SKP227"
"17848",41920.5873314957,-8.11662880237628,0.666566038339541,-12.1767811972469,4.13272303122563e-34,1.52582451727634e-31,NA
"15206",79.4171301891829,-8.02616362492792,0.652778212778109,-12.2953914021885,9.58911619826103e-35,3.82644480214447e-32,"RN7SL38P"
"9910",147.242870978359,-7.94997794586624,0.502479069626239,-15.8215106388007,2.21122842817608e-56,3.79802517630852e-53,"RN7SKP9"
"9965",74.1276289682573,-7.82882637084288,0.569623806965064,-13.7438538823625,5.54441135038823e-43,4.76156457384971e-40,"RN7SKP186"
"18675",531.248496016369,-7.8269339001459,0.424153650599021,-18.4530626792723,4.92718961617532e-76,1.94648625787006e-72,"RN7SL4P"
"9417",133.209291335138,-7.7279694887304,0.514379150496742,-15.0238777782253,5.12214633133064e-51,7.22679967211489e-48,NA
"10680",205.837971891482,-7.71588025723101,0.626209438864567,-12.3215649243827,6.93355885328656e-35,2.82381693298026e-32,"MT-TC"
"18815",1137.67668631641,-7.67661534812861,0.664950906434449,-11.544634760018,7.85745344892231e-31,1.9771254681508e-28,"MIR3648-2"
"18939",100268.103526227,-7.65022466592063,0.502929373629917,-15.2113299939209,2.97438342711818e-52,4.51934681878091e-49,NA
"10420",102.803328058476,-7.63369252049482,0.672769893905435,-11.3466618968057,7.70483380522904e-30,1.63644870685792e-27,"RNU1-11P"
"10482",130.17195809767,-7.62909165239577,0.428956421771805,-17.7852370664689,9.19735512172655e-71,2.1373030240224e-67,"SNORA54"
"14907",875.995865901122,-7.42934044949982,0.389631911801848,-19.0675871879768,4.69472194686834e-81,2.64949986444334e-77,"SCARNA7"
"10536",94.1904240782275,-7.40621663660421,0.515472001425541,-14.3678349476252,8.23660804938176e-47,9.03853336085629e-44,"SNORA37"
"10671",96.1641119458554,-7.33960413439419,0.480736628746627,-15.2674119164374,1.26078495067986e-52,1.99229237906431e-49,"SNORA49"
"16605",337.589183926965,-7.24565645094617,0.390356815152153,-18.5616240570104,6.56885182982141e-77,3.24378114421369e-73,"SCARNA5"
"19727",1822.03325696812,-7.24496683330775,0.540188317846635,-13.4119280146385,5.1482786761494e-41,3.69786816547785e-38,NA
"19677",17720.2341532214,-7.15886280322793,0.678870883967264,-10.5452494315151,5.34308885402608e-26,6.70091191042223e-24,NA
"16697",491.611574581579,-7.04174650538499,0.332906643026836,-21.1523159807218,2.62721696134389e-99,2.59470515144726e-95,"SCARNA13"
"9961",69478.0167646566,-6.94361242180847,0.652994782751853,-10.6334883604225,2.08177089469647e-26,2.75974359714711e-24,NA
"16230",51.9861422338423,-6.92260301980042,0.462182136134847,-14.9780843493715,1.0211821969585e-50,1.39109664451191e-47,"LINC02900"
"15796",45.3711074543324,-6.83420155473683,0.521694184549001,-13.1000148308054,3.29193329755114e-39,2.06425118920251e-36,"RN7SL151P"
"12172",91.2663517260498,-6.82573035773766,0.462225458422154,-14.7671017105762,2.38761645672655e-49,2.85826630675704e-46,NA
"19747",255.029348109846,-6.76292724559745,0.500237921828261,-13.5194213603008,1.20116858800984e-41,9.30434609202524e-39,"TERC"
"9227",263.033902829816,-6.71680866549017,0.530927245840121,-12.651090555471,1.10332585486642e-36,5.58806255083309e-34,"H4C3"
"19736",131.584377631932,-6.71526362247001,0.519510644089994,-12.9261328884471,3.20540171034094e-38,1.86219697892675e-35,NA
"17734",56856.6414121901,-6.68753675820082,0.528989833507963,-12.6420893835574,1.23721930533121e-36,6.18687957684931e-34,NA
"11745",41.514342138154,-6.67790072160339,0.651249152193936,-10.2539875854069,1.13559752157601e-24,1.23586171046447e-22,"RNU2-61P"
"15273",54.152427279424,-6.64499073576844,0.465122149481628,-14.2865497658501,2.65438099976509e-46,2.7595084577821e-43,"RN7SL128P"
"16879",74.9667287671453,-6.64412519663365,0.509902587977258,-13.030185281056,8.24073024717201e-39,5.00846228330046e-36,NA
"15071",35.0548097477778,-6.63972136339398,0.529382651272156,-12.5423856400245,4.37619943179975e-36,1.9645654381051e-33,"RN7SL507P"
"11591",85.832618413544,-6.57980292278247,0.606831511865689,-10.8428827345387,2.15569303080013e-27,3.30080051092089e-25,"RNU6ATAC"
"19718",106.727873043187,-6.49219663547614,0.460875776186041,-14.0866519156248,4.58803377670007e-45,4.5312568587134e-42,NA
"16633",157.451949839122,-6.48432963495003,0.354347585611764,-18.2993475848161,8.37457142838477e-75,2.5449034175257e-71,NA
"19085",531.454362196205,-6.46187498982286,0.656054222776101,-9.84960505623966,6.88138443486359e-23,5.97470532086343e-21,NA
"19681",63.7784996118205,-6.45537021279502,0.477027640890931,-13.5324867144774,1.00563367105599e-41,7.94551163501341e-39,NA
"3930",131.075782871417,-6.41873821259737,0.901524908300044,-7.11986785223808,1.08030590793307e-12,1.68688762983627e-11,"PRH2"
"8771",422.423491726994,-6.30396636637435,0.695532938187572,-9.06350514872999,1.26324446689861e-19,6.42857902226723e-18,"ANKRD20A5P"
"11740",26.0201888268117,-6.29802428369714,0.601541573249187,-10.4698071817028,1.188849137473e-25,1.41037493020633e-23,"RN7SKP8"
"10052",45.2586428692852,-6.23255584270597,0.569474169882241,-10.9444048076751,7.0680415749657e-28,1.13045741870049e-25,"RHOT1P2"
"11271",40.2248178168003,-6.20348149483125,0.505500537897015,-12.2719582468478,1.28116788721921e-34,5.01114231530642e-32,"RPS12P16"
"10888",64.7093540553164,-6.19712521703991,0.537353558246316,-11.5326773628606,9.02913107392152e-31,2.23334715042023e-28,"SNORA74B"
"13913",67.8011930455269,-6.15650094938901,0.547194911951822,-11.2510200934234,2.28928932030214e-29,4.53247878928995e-27,NA
