"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"3387",1736.91149338196,-12.3772663421226,1.43342426037652,-8.63475433216918,5.88533804042488e-18,7.31665225185621e-15,"MT-TY"
"5755",41920.5873314957,-10.5627687141804,1.23247831890548,-8.57034850200106,1.03172332179175e-17,1.10603185882759e-14,NA
"3180",69478.0167646566,-10.4759601638423,1.20558120453188,-8.68955166558856,3.63872586144016e-18,4.712149990565e-15,NA
"6388",17720.2341532214,-10.3735422689288,1.26072746631507,-8.22821945749241,1.9001671840811e-16,1.68734845946402e-13,NA
"4812",2010.20204744091,-10.1456379531212,0.880162480633353,-11.5270057249208,9.64398105283998e-31,1.49867465561133e-26,"SCARNA10"
"6147",100268.103526227,-9.96159821114883,0.927970093152766,-10.7348267844543,6.98498381703487e-27,4.0926564185989e-23,NA
"2725",750.78943711287,-9.4248643065884,1.0828127217156,-8.70405760624582,3.20224373741432e-18,4.32720588516683e-15,NA
"6085",2167.09709928154,-9.4108249073816,1.05492704984191,-8.92083003160442,4.6280641204627e-19,7.19201164319904e-16,NA
"6105",1137.67668631641,-9.36113898251786,1.2947171942398,-7.23025771509453,4.82078322649126e-13,2.53949055388726e-10,"MIR3648-2"
"3167",147.242870978359,-8.84778452940835,1.26141534956713,-7.01417224108186,2.31314295431511e-12,1.01257018338188e-09,"RN7SKP9"
"2735",436.867297665365,-8.83868490072352,1.48765430611736,-5.94135671464675,2.82672750844964e-09,4.22378321935648e-07,"H1-5"
"6407",1822.03325696812,-8.71460438417394,1.02891964860694,-8.46966465843346,2.46100502762153e-17,2.46735600833797e-14,NA
"5719",56856.6414121901,-8.63641749600793,0.975331201026195,-8.8548561626257,8.3791793921768e-19,1.24011855004217e-15,NA
"5370",337.589183926965,-8.61508458830882,0.911590328969703,-9.45060990066202,3.3686210397343e-21,8.72472849291183e-18,"SCARNA5"
