"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000125414",1795.0337777445,13.2453546685801,1.36873826997083,9.67705437860109,3.77433776098228e-22,1.08890566174355e-18,"MYH2"
"ENSG00000109061",1565.0177965626,10.7020390580467,1.62235414815731,6.59661090040192,4.20662865836122e-11,1.09867242606611e-08,"MYH1"
"ENSG00000171711",291.629574137012,10.6533837966322,1.51439079960023,7.03476526630014,1.99596733993189e-12,8.96419445427251e-10,"DEFB4A"
"ENSG00000137745",564.679777878885,10.2910376115122,1.52277930635985,6.75806242475971,1.39849279170092e-11,4.43521999653722e-09,"MMP13"
"ENSG00000168530",1490.04796614963,10.1327994839391,1.84578895516758,5.48968475272902,4.02651747955284e-08,3.76940250796694e-06,"MYL1"
"ENSG00000129170",740.184737886115,9.35588438249976,1.56959294108733,5.96070747872915,2.51148198965042e-09,3.77086281344613e-07,"CSRP3"
"ENSG00000101470",396.552531666257,9.22148946816949,1.00397015478383,9.18502350316883,4.11437456417572e-20,7.52204479144597e-17,"TNNC2"
"ENSG00000148677",533.919969116869,9.17462789005025,1.44152111306432,6.36454631631947,1.95867812490989e-10,4.19832524980686e-08,"ANKRD1"
"ENSG00000156885",75.8464332895087,8.97772907294716,1.06087216793949,8.46259270839806,2.61497711245579e-17,2.53979652047269e-14,"COX6A2"
"ENSG00000196611",4783.57641987779,8.86563122315823,1.50186868162111,5.9030668470886,3.56805613013167e-09,5.04069020565875e-07,"MMP1"
"ENSG00000239474",630.433772958792,8.81347088130976,1.26934146639876,6.94334118486995,3.82933063760003e-12,1.52584097713601e-09,"KLHL41"
"ENSG00000166670",705.179914781598,8.67434771179035,1.46590203285064,5.91741297671983,3.27044796956002e-09,4.68412547898273e-07,"MMP10"
"ENSG00000188508",3363.91047464228,8.53747666889463,1.41287867697328,6.04261130699768,1.51639665848798e-09,2.441948608591e-07,"KRTDAP"
"ENSG00000086967",403.682213210453,8.36165976312164,1.40826043529487,5.93758054515735,2.89258947791336e-09,4.3015158360549e-07,"MYBPC2"
"ENSG00000210196",1041.30755347657,8.20728912762697,0.876675553861165,9.36183185612898,7.83660303408806e-21,1.87355094076505e-17,"MT-TP"
"ENSG00000181418",130.962889681508,8.20383106601363,1.03492672625727,7.92696802379637,2.24561081160034e-15,1.74483960061346e-12,"DDN"
"ENSG00000186439",427.338416657537,8.13799905549019,1.55188346825411,5.24394983384001,1.57174951288669e-07,1.14402751429785e-05,"TRDN"
"ENSG00000091482",218.961036806608,8.09976234560195,1.50100662071912,5.39622026565175,6.80593873341675e-08,5.84333082416002e-06,"SMPX"
"ENSG00000177954",15505.7891093944,8.06023174849614,0.767978725793906,10.4953841529449,9.07079887641466e-26,3.13244921198853e-22,"RPS27"
"ENSG00000147604",16766.5244641337,7.9448423264245,0.667489429576251,11.9025739950192,1.14752210265348e-32,3.56649869504702e-28,"RPL7"
"ENSG00000133055",248.404189541107,7.86756807383486,1.55548653627284,5.05794675194465,4.23794724393845e-07,2.53786898538742e-05,"MYBPH"
"ENSG00000127325",115.97903942655,7.86043560431171,1.39973196568856,5.61567199792066,1.95799776878977e-08,2.10629843453639e-06,"BEST3"
