"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000004776",496.502216186833,-2.026252096405,0.556915606815243,-3.63834676494747,0.000274393811534127,0.000799699559177845,"HSPB6"
"ENSG00000004939",7.22041062744357,-3.03117635323097,0.622756028979162,-4.86735770057459,1.13100212327991e-06,5.34133160551976e-06,"SLC4A1"
"ENSG00000008086",113.820189548331,-2.31695473994818,0.517043107913517,-4.48116357125048,7.42371855120423e-06,2.98828230368406e-05,"CDKL5"
"ENSG00000008196",80.1376394579096,-5.56983630210699,0.640998897442376,-8.68930714909334,3.64656537108448e-18,1.49127914062828e-16,"TFAP2B"
"ENSG00000013293",5.69660956407507,-2.0554250081712,0.463312106196511,-4.43637233018774,9.14875531134309e-06,3.61747151010518e-05,"SLC7A14"
"ENSG00000016602",2737.80318827432,-2.83661340530179,0.688957282221452,-4.11725585678622,3.83410346985213e-05,0.000133686017278472,"CLCA4"
"ENSG00000030304",50.0770568973616,-3.54732304686067,0.481852788903771,-7.36183981612088,1.81392563634281e-13,3.28711615888636e-12,"MUSK"
"ENSG00000030419",1368.77046368632,-3.39921414747218,0.419511348753134,-8.10279425711671,5.37110290049939e-16,1.56248468397812e-14,"IKZF2"
"ENSG00000049319",7.1244245582277,-2.32450206184615,0.440996229956386,-5.27102479328688,1.35664140489445e-07,7.72917777622662e-07,NA
"ENSG00000059728",4163.38722950353,-2.14060449898299,0.407391761525198,-5.25441283095409,1.48497455843438e-07,8.39684791826037e-07,"MXD1"
"ENSG00000062096",12.951902961752,-2.53371182623711,0.488984510482224,-5.18157890878472,2.20015474332125e-07,1.20450544810014e-06,"ARSF"
"ENSG00000063015",9.81735771031906,-2.73584977866368,0.400862907727039,-6.82490129649662,8.7985788881107e-12,1.15554474393222e-10,"SEZ6"
"ENSG00000069020",2466.7251280017,-2.2915725990063,0.376204261675573,-6.09129888321808,1.11998225455558e-09,9.74771953430675e-09,"MAST4"
"ENSG00000070193",39.821201747352,-2.19966465947014,0.493375780241127,-4.45839611015178,8.25752019060378e-06,3.29674921808795e-05,"FGF10"
"ENSG00000070388",6.00567203504114,-2.03554268228921,0.396431817057366,-5.1346602232854,2.8265420626413e-07,1.51530118312722e-06,"FGF22"
"ENSG00000077063",339.543922840475,-2.15375228350816,0.47615188424275,-4.52324637323108,6.08982831249927e-06,2.48506009178064e-05,"CTTNBP2"
"ENSG00000078898",300.092779465482,-6.0606371463949,0.918846746058795,-6.59591729784185,4.22634483261917e-11,4.87479569671884e-10,"BPIFB2"
"ENSG00000082293",28.8570253725705,-3.55342869850134,0.385616207876789,-9.21493605796964,3.11463885162125e-20,1.74036503300279e-18,"COL19A1"
"ENSG00000082929",7.02874782179539,-2.32240584650168,0.431255521642304,-5.38521996810037,7.23561046227655e-08,4.36934869019008e-07,"LINC01587"
"ENSG00000088002",1496.1801798853,-2.09825837796901,0.527463394876189,-3.97801704981165,6.94923898042183e-05,0.000229924360068312,"SULT2B1"
"ENSG00000088053",36.3301600978212,-3.36955478732029,0.484040830599588,-6.96130279577113,3.37140253396188e-12,4.7857440569229e-11,"GP6"
"ENSG00000089250",184.944557739747,-2.77222809191772,0.590610384813169,-4.69383567103155,2.6812944812316e-06,1.17693931645616e-05,"NOS1"
"ENSG00000091128",155.256398949604,-4.84068475147414,0.591549009670861,-8.18306627572161,2.76710870286912e-16,8.43477077984912e-15,"LAMB4"
"ENSG00000092054",643.034437219513,-6.03527888112264,1.12523082239789,-5.36359186132256,8.15831312561292e-08,4.87069910877042e-07,"MYH7"
"ENSG00000092295",5414.92465544761,-2.5633185932631,0.545764679925043,-4.69674694524966,2.64337605158039e-06,1.16197363878584e-05,"TGM1"
"ENSG00000092377",8.50141857815468,-3.52926035187908,0.622497154758002,-5.66952045467757,1.43197754830289e-08,9.9333227472705e-08,"TBL1Y"
"ENSG00000093100",19.4611825521334,-2.40623767361906,0.517717381072845,-4.64778228737987,3.35522760762385e-06,1.44592851139064e-05,NA
"ENSG00000094796",133.47033515159,-2.41468865483027,0.531064385873213,-4.54688493347162,5.44457448940426e-06,2.24400537510606e-05,"KRT31"
"ENSG00000095713",111.60536699174,-2.05012692208346,0.471301697807741,-4.34992475439749,1.36184254220276e-05,5.21061400772108e-05,"CRTAC1"
"ENSG00000096006",2856.09358476738,-4.79322570719763,0.934173387121984,-5.13098079358124,2.88236323208914e-07,1.5422966203939e-06,"CRISP3"
"ENSG00000096696",43536.4072530518,-2.21081565517362,0.471910840780409,-4.68481641896073,2.80210971458034e-06,1.22697122893478e-05,"DSP"
"ENSG00000099204",8176.48836924176,-2.31079984419201,0.35837139229832,-6.44805889603047,1.13291742445235e-10,1.19668189446497e-09,"ABLIM1"
"ENSG00000099834",58.0257261365031,-2.889222198978,0.462535642415584,-6.24648553328581,4.19790880454426e-10,3.9645801416094e-09,"CDHR5"
"ENSG00000099866",24.7534577679079,-2.07389281292557,0.433914182001201,-4.77949995402509,1.75731712520816e-06,7.97688303244263e-06,"MADCAM1"
"ENSG00000100012",3.18727383827531,-2.34509081161823,0.515414153625541,-4.54991543232238,5.36674799871993e-06,2.21516434739767e-05,"SEC14L3"
"ENSG00000100557",3.22771164997019,-2.04633072803551,0.513168361399807,-3.98764008453986,6.67338009873413e-05,0.000221595259981921,"CCDC198"
"ENSG00000101542",11.4091955145769,-2.55943832924584,0.35788911087986,-7.1514842207787,8.58445899038302e-13,1.36470443627799e-11,"CDH20"
"ENSG00000101892",37.7265085934766,-3.91549940243949,0.800485679340886,-4.89140468529492,1.00118874400944e-06,4.77853827861457e-06,"ATP1B4"
"ENSG00000102908",1798.08624079267,-2.09105550187999,0.347808069546605,-6.01209599479921,1.83139814761967e-09,1.52218354348233e-08,"NFAT5"
"ENSG00000103460",14.1842477810024,-2.45124790475411,0.524270999344037,-4.67553594957777,2.93186909148285e-06,1.27953478191593e-05,"TOX3"
"ENSG00000104044",15.6688831070735,-2.03332069857082,0.569400808555942,-3.57098315987209,0.00035564376311471,0.0010128104715864,"OCA2"
"ENSG00000104879",2342.45827702383,-3.98410818822592,1.07133681482506,-3.71881945350352,0.000200156046560041,0.00060075707486358,"CKM"
"ENSG00000105289",305.674025641181,-2.93338300246899,0.478897883896156,-6.12527868906822,9.05250168560765e-10,8.0345782765655e-09,"TJP3"
"ENSG00000105427",7554.65950390622,-2.93553275583369,0.55117976181601,-5.325908096048,1.00449913942916e-07,5.88522883313814e-07,"CNFN"
"ENSG00000105668",107.612239896705,-3.68740432333193,0.647749665336313,-5.69263794434757,1.25091460826674e-08,8.78687439537295e-08,"UPK1A"
"ENSG00000106258",366.602622833969,-2.82810812986603,0.473891929270088,-5.96783349786527,2.40424522359836e-09,1.955243396691e-08,"CYP3A5"
"ENSG00000108231",28.8630071576177,-2.8096229647858,0.43808341996148,-6.41344282107924,1.42269490879102e-10,1.47361201813816e-09,"LGI1"
"ENSG00000108576",76.4131539108932,-3.62662026074391,0.465711777776611,-7.78726335429615,6.84761293020369e-15,1.60447775093533e-13,"SLC6A4"
"ENSG00000108759",28.5625771895592,-3.10726894822012,0.501313150447872,-6.19825940222014,5.70909932812709e-10,5.26711744413033e-09,"KRT32"
"ENSG00000108839",470.150095233099,-2.47948624088516,0.531700067719073,-4.66331751944634,3.11152098824284e-06,1.34973796684455e-05,"ALOX12"
"ENSG00000108924",704.416974721158,-2.12621883661697,0.534261833273444,-3.97973185467796,6.89930437440594e-05,0.000228463553487768,"HLF"
"ENSG00000108932",130.033124086856,-2.01432699525221,0.376339752124075,-5.35241622465676,8.67874866007345e-08,5.15414861419425e-07,"SLC16A6"
"ENSG00000109061",1565.0177965626,-2.06402180402088,0.915885449694718,-2.25358073404143,0.0242225564837767,0.0443178998653019,"MYH1"
"ENSG00000109158",10.4442386570132,-2.44094056257051,0.651705620693883,-3.74546495390296,0.000180059983370439,0.000545579816156558,"GABRA4"
"ENSG00000110484",6.80831778650243,-3.95380398642567,0.636783898040259,-6.20902004368161,5.3316023044551e-10,4.94192747624352e-09,"SCGB2A2"
"ENSG00000110723",1432.50012757283,-3.90697138636966,0.450059720289577,-8.68100656476398,3.92281505009904e-18,1.5976372015893e-16,"EXPH5"
"ENSG00000111215",766.646006631271,-3.81985636145611,0.768384290223257,-4.97128378346495,6.65110111336913e-07,3.2897427004338e-06,"PRR4"
"ENSG00000111245",575.616870123236,-3.66975728020536,1.07011253434791,-3.42931903179845,0.000605097805663911,0.00164234893938528,"MYL2"
"ENSG00000111405",774.534736333502,-3.86711616279924,0.532363740083519,-7.26404875394509,3.75672504201953e-13,6.3997163771014e-12,"ENDOU"
"ENSG00000111713",44.7305200445678,-2.22344070425308,0.695255504199513,-3.19801956377614,0.00138374892444387,0.00346681375020354,"GYS2"
"ENSG00000111961",2190.01713387247,-2.43981510430293,0.392106302589628,-6.22233075109839,4.8982305797153e-10,4.57457680973175e-09,"SASH1"
"ENSG00000112246",8.91897778341063,-2.7269544051973,0.709258927203889,-3.84479391179152,0.000120653795823209,0.000380097942902383,"SIM1"
"ENSG00000112297",4168.22595386061,-2.27407311180091,0.424235245056043,-5.36040590286293,8.30351692886522e-08,4.9514028116954e-07,"CRYBG1"
"ENSG00000113441",1296.40948221263,-2.2368906251713,0.350583754066165,-6.38047427819241,1.76540377831673e-10,1.79609261556535e-09,"LNPEP"
"ENSG00000114854",616.839764471078,-2.57438602235244,1.00991797808389,-2.54910406411104,0.0108000068007181,0.0217569744345929,"TNNC1"
"ENSG00000115474",30.1043233903506,-5.91793701208053,0.47779582717263,-12.3859118801855,3.11523682507945e-35,1.30922798696557e-32,"KCNJ13"
"ENSG00000115977",373.492879072322,-2.21981417830336,0.266263372413259,-8.33691152554793,7.62560750693817e-17,2.54648879595598e-15,"AAK1"
"ENSG00000116981",6.50876883620202,-2.08839925885095,0.568277445863683,-3.67496418175975,0.000237882785228091,0.000702516216673076,"NT5C1A"
"ENSG00000117501",5.91767858460982,-2.06033887906102,0.426241301385019,-4.83373824255463,1.33992748141814e-06,6.23190901264701e-06,"MROH9"
"ENSG00000117983",3971.3628142168,-4.31798557117808,1.10704479320939,-3.90046147876274,9.60095023746265e-05,0.000308763870995573,"MUC5B"
"ENSG00000118245",1.81278223022934,-2.16492793997131,0.575585267335866,-3.76126364385909,0.000169057122974269,0.000515562887378299,"TNP1"
"ENSG00000118492",2.35252400923302,-2.00499368071315,0.594114126673605,-3.37476183564081,0.000738795978787723,0.00196950773615014,"ADGB"
"ENSG00000118596",262.496066525587,-3.43275966731407,0.380765739007378,-9.01541109308565,1.96133458395744e-19,9.7217719873574e-18,"SLC16A7"
"ENSG00000118898",17471.9344409264,-3.06679951711103,0.445312004498841,-6.88685570145913,5.70390260600772e-12,7.78889292949655e-11,"PPL"
"ENSG00000118976",5.80658887334059,-2.25502583214147,0.463502553223642,-4.86518535110078,1.14349593765789e-06,5.39517580522811e-06,"OTUD4P1"
"ENSG00000119457",10.4093627840876,-2.52809603915287,0.428124054327515,-5.90505488677559,3.52529362069075e-09,2.78088507359002e-08,"SLC46A2"
"ENSG00000119725",40.7268200367454,-2.50262889229534,0.400857551390172,-6.24318759523486,4.28742167153884e-10,4.04138852622625e-09,"ZNF410"
"ENSG00000119938",1565.72648848691,-3.08613100487895,0.651274135778913,-4.73860519762233,2.15194304969497e-06,9.62769084690823e-06,"PPP1R3C"
