"mature_mirna_id","hgnc_symbol"
"hsa-miR-375","RPN2"
"hsa-miR-375","RTN2"
"hsa-miR-375","SLC6A6"
"hsa-miR-375","SNAPC1"
"hsa-miR-375","SNRPA1"
"hsa-miR-375","STX3"
"hsa-miR-375","TFRC"
"hsa-miR-375","TGM2"
"hsa-miR-375","TNNI3"
"hsa-miR-375","USP1"
"hsa-miR-375","PTP4A2"
"hsa-miR-375","FZD4"
"hsa-miR-375","EEA1"
"hsa-miR-375","DGKD"
"hsa-miR-375","B3GALNT1"
"hsa-miR-375","TNFSF13"
"hsa-miR-375","PEX11B"
"hsa-miR-375","ASAP2"
"hsa-miR-375","CLDN1"
"hsa-miR-375","USP10"
"hsa-miR-375","EXO1"
"hsa-miR-375","EBAG9"
"hsa-miR-375","ZBED1"
"hsa-miR-375","XPR1"
"hsa-miR-375","NOLC1"
"hsa-miR-375","EFTUD2"
"hsa-miR-375","RAB28"
"hsa-miR-375","AKAP7"
"hsa-miR-375","PIGB"
"hsa-miR-375","RAB3D"
"hsa-miR-375","VGLL4"
"hsa-miR-375","SNPH"
"hsa-miR-375","MLEC"
"hsa-miR-375","KIAA0513"
"hsa-miR-375","RIMS3"
"hsa-miR-375","DAZAP2"
"hsa-miR-375","ARHGAP11A"
"hsa-miR-375","WDR1"
"hsa-miR-375","SLC25A15"
"hsa-miR-375","LHFPL2"
"hsa-miR-375","FSTL3"
"hsa-miR-375","RRAGB"
"hsa-miR-375","TIMM17A"
"hsa-miR-375","HOXB13"
"hsa-miR-375","SEC23A"
"hsa-miR-375","CREB3"
"hsa-miR-375","SEMA3C"
"hsa-miR-375","PROCR"
"hsa-miR-375","SUB1"
"hsa-miR-375","PRDX3"
"hsa-miR-375","RASSF8"
"hsa-miR-375","COG2"
"hsa-miR-375","DNAJC8"
"hsa-miR-375","SLC4A1AP"
"hsa-miR-375","NT5C2"
"hsa-miR-375","STK38L"
"hsa-miR-375","DCUN1D4"
"hsa-miR-375","PSME4"
"hsa-miR-375","IQCE"
"hsa-miR-375","RPGRIP1L"
"hsa-miR-375","DPY19L1"
"hsa-miR-375","RHOQ"
"hsa-miR-375","HEY1"
"hsa-miR-375","LEPROTL1"
"hsa-miR-375","SUZ12"
"hsa-miR-375","GTPBP4"
"hsa-miR-375","ARL2BP"
"hsa-miR-375","SH3BP4"
"hsa-miR-375","DNAJC2"
"hsa-miR-375","ANKRD1"
"hsa-miR-375","MAT2B"
"hsa-miR-375","CCDC59"
"hsa-miR-375","NRBP1"
"hsa-miR-375","TMED5"
"hsa-miR-375","RDH11"
"hsa-miR-375","NAGPA"
"hsa-miR-375","CRIM1"
"hsa-miR-375","NELFCD"
"hsa-miR-375","GDAP1"
"hsa-miR-375","NLE1"
"hsa-miR-375","TMX3"
"hsa-miR-375","EXOC6"
"hsa-miR-375","PPP2R3C"
"hsa-miR-375","RMDN3"
"hsa-miR-375","APPL2"
"hsa-miR-375","NAT10"
"hsa-miR-375","TMEM74B"
"hsa-miR-375","AGPAT5"
"hsa-miR-375","STAP2"
"hsa-miR-375","CCDC88A"
"hsa-miR-375","ENAH"
"hsa-miR-375","METTL2B"
"hsa-miR-375","NXT2"
"hsa-miR-375","NSFL1C"
"hsa-miR-375","KLHL7"
"hsa-miR-375","PDGFC"
"hsa-miR-375","BDH2"
"hsa-miR-375","IFT46"
"hsa-miR-375","PHTF2"
"hsa-miR-375","PBXIP1"
"hsa-miR-375","IFT80"
"hsa-miR-375","GATAD1"
"hsa-miR-375","RAP2C"
"hsa-miR-375","ENOPH1"
"hsa-miR-375","ABHD4"
"hsa-miR-375","RRAGC"
"hsa-miR-375","TNS3"
"hsa-miR-375","MAPKAP1"
"hsa-miR-375","CHPF"
"hsa-miR-375","PPCS"
"hsa-miR-375","BBS10"
"hsa-miR-375","ZDHHC11"
"hsa-miR-375","LPCAT1"
