"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000264462",1137.67668631641,-11.1020029600259,1.58270727535232,-7.01456493750844,2.30665577184318e-12,5.97868989003704e-10,"MIR3648-2"
"ENSG00000229807",2315.57363324898,-10.9789095724429,2.36039909491393,-4.6512937562549,3.2985906166258e-06,9.12610070599803e-05,"XIST"
"ENSG00000239002",2010.20204744091,-9.98119639493538,0.91869567694131,-10.8645296211326,1.70097463215108e-27,8.37673307180003e-24,"SCARNA10"
"ENSG00000210144",1736.91149338196,-9.48045859080301,1.11123844264,-8.53143504312184,1.44543366468978e-17,1.37773141691141e-14,"MT-TY"
"ENSG00000204544",15170.2143763648,-8.74288848227517,1.58714113904743,-5.50857656397368,3.61746897672762e-08,2.28395242146042e-06,"MUC21"
"ENSG00000238741",875.995865901122,-8.45848947698729,0.832751049186889,-10.1572846833952,3.0752165300972e-24,7.57220816927601e-21,"SCARNA7"
"ENSG00000092054",643.034437219513,-8.39598483354833,2.22521108371042,-3.77311837740286,0.000161219744830969,0.00183008875154263,"MYH7"
"ENSG00000186481",422.423491726994,-8.32540093635296,1.42256294947591,-5.85239545246143,4.84542834159328e-09,4.48817293534164e-07,"ANKRD20A5P"
"ENSG00000201793",147.242870978359,-8.1545305337727,1.26141606725425,-6.46458432349198,1.01577642293954e-10,1.74500940378008e-08,"RN7SKP9"
"ENSG00000251992",146.168758050691,-8.10650841775627,1.24597503789298,-6.50615636045556,7.70979786113794e-11,1.37234401928255e-08,"SCARNA17"
"ENSG00000207008",130.17195809767,-7.97481885098676,1.17930474970401,-6.76230537779851,1.35813055919725e-11,2.99477923605673e-09,"SNORA54"
"ENSG00000168631",317.983931574411,-7.93102021298513,1.6305557236153,-4.86399826643172,1.1503792105265e-06,3.97095851783144e-05,"MUCL3"
"ENSG00000201315",119.595271573745,-7.85824323251234,1.25351730425926,-6.26895472907414,3.63479777560882e-10,4.92665159053621e-08,"RN7SKP227"
"ENSG00000244122",399.352107101912,-7.71999410604989,1.78594903542765,-4.3226284473461,1.54181265195041e-05,0.000305050386783262,"UGT1A7"
"ENSG00000196747",111.008517127067,-7.67180160746967,1.37051712087897,-5.59774226136587,2.17161274124841e-08,1.5133682376983e-06,"H2AC13"
"ENSG00000263968",104.685279277735,-7.62851272234196,1.27227279716536,-5.99597251417965,2.0227123397649e-09,2.14219011524635e-07,"RN7SL381P"
"ENSG00000206702",102.803328058476,-7.62708861297854,1.48771271395675,-5.12672140355202,2.94831294961315e-07,1.31397814532684e-05,"RNU1-11P"
"ENSG00000208892",96.1641119458554,-7.53684739643347,1.23199867324201,-6.11757752676812,9.50085426420057e-10,1.10090683058274e-07,"SNORA49"
"ENSG00000124575",284.572618570533,-7.52858398648889,1.20325256182083,-6.25686096616007,3.92803297373642e-10,5.23441785508871e-08,"H1-3"
"ENSG00000197061",263.033902829816,-7.44465150074827,1.11220886872776,-6.69357322178529,2.17785978345599e-11,4.43802764700397e-09,"H4C3"
"ENSG00000184357",436.867297665365,-7.32929350838526,1.42387623372584,-5.14742316416561,2.64089121044947e-07,1.20097315895691e-05,"H1-5"
"ENSG00000240481",79.4171301891829,-7.26280489075217,1.37615057093219,-5.27762371659114,1.3086984778138e-07,6.7134414275073e-06,"RN7SL38P"
"ENSG00000124610",77.3960232090188,-7.20724325449566,1.41129790876609,-5.10681919793745,3.27626954066342e-07,1.42573214120063e-05,"H1-1"
"ENSG00000202241",74.1276289682573,-7.16048307114685,1.26256054506304,-5.67139777901846,1.41637103715486e-08,1.08500265748121e-06,"RN7SKP186"
"ENSG00000197893",688.416947580343,-7.09047987078187,2.33952932654241,-3.03072921135846,0.00243963936172938,0.0138627815116115,"NRAP"
"ENSG00000215559",702.767787189942,-7.08872049487458,1.46831635407522,-4.82778828635962,1.38057749424844e-06,4.60941285876305e-05,"ANKRD20A11P"
"ENSG00000263740",531.248496016369,-7.05385572439806,0.814652888253049,-8.65872548432797,4.77068175345249e-18,5.42169632503901e-15,"RN7SL4P"
"ENSG00000143536",26089.3653131095,-6.98695816793347,1.56858099033822,-4.45431776297821,8.4160377709455e-06,0.000190265557808644,"CRNN"
"ENSG00000252481",491.611574581579,-6.94948090000684,0.678603572077359,-10.2408551707633,1.30081444247075e-24,3.49422410419324e-21,"SCARNA13"
"ENSG00000260034",65.4371157672711,-6.94650514130306,1.23536022460466,-5.62306038590977,1.8760378513394e-08,1.34873884261257e-06,"LCMT1-AS2"
"ENSG00000212402",64.7093540553164,-6.93863822038715,1.34181359006184,-5.1710895401405,2.32733008542106e-07,1.08638150654062e-05,"SNORA74B"
"ENSG00000207233",94.1904240782275,-6.93173158313246,1.12787392067358,-6.14583904820919,7.95419101082297e-10,9.40121743951188e-08,"SNORA37"
"ENSG00000235440",64.1217475117866,-6.91716905871401,1.25428659174866,-5.51482340975235,3.49130336181181e-08,2.22810003746901e-06,"RPS2P15"
"ENSG00000212283",63.1646618478372,-6.89292254258414,1.21379640733862,-5.6788127736328,1.3563283847504e-08,1.05188428117073e-06,"SNORD89"
"ENSG00000261272",277.09120467413,-6.86705575661115,1.59903796798011,-4.29449199713848,1.75093796919658e-05,0.000335299514671552,"MUC22"
"ENSG00000197353",497.023743498493,-6.86459498120597,1.39195644686715,-4.93161621303311,8.15520260704704e-07,2.98921373499719e-05,"LYPD2"
"ENSG00000200959",59.9364260846204,-6.83504307239776,1.28826464547527,-5.30562031365547,1.12290473878192e-07,5.8621182370191e-06,"SNORA74A"
"ENSG00000250026",118.540552203536,-6.82218596480671,1.46076599659359,-4.67027982627992,3.00789718053628e-06,8.47257825457445e-05,"TMPRSS11BNL"
"ENSG00000166317",312.940940667587,-6.77610552659658,1.3748860651387,-4.92848512935726,8.28696406814722e-07,3.02300264550141e-05,"SYNPO2L"
"ENSG00000142623",2834.02528197926,-6.77005465389717,1.07694506306643,-6.28635098119169,3.25014696182429e-10,4.55143802976227e-08,"PADI1"
"ENSG00000104879",2342.45827702383,-6.75564808178594,2.08968269482045,-3.23285831793061,0.00122558329822784,0.00835375670035439,"CKM"
"ENSG00000171401",127786.830919131,-6.75468197880885,1.26263156079778,-5.34968567912318,8.81071227624889e-08,4.81217978444736e-06,"KRT13"
"ENSG00000240869",54.152427279424,-6.70039777738594,1.19905224265692,-5.58807826633045,2.29596169280333e-08,1.5925135234496e-06,"RN7SL128P"
"ENSG00000228789",120.935221028771,-6.66381579503691,1.5834212947102,-4.20849196439318,2.57080669883544e-05,0.000446311376834251,"HCG22"
"ENSG00000249647",51.9861422338423,-6.64369531333327,1.16173342525381,-5.7187777926608,1.07292995075042e-08,8.73359068451061e-07,"LINC02900"
"ENSG00000168298",649.086534659492,-6.63416114152827,1.01822166712657,-6.51543898122885,7.24773819429796e-11,1.29791617069767e-08,"H1-4"
"ENSG00000210140",205.837971891482,-6.62576448751361,1.18105363981223,-5.61004535625244,2.02273594797302e-08,1.42654285181366e-06,"MT-TC"
"ENSG00000099834",58.0257261365031,-6.60824270363807,1.31601042827748,-5.02142123013993,5.1290537700073e-07,2.06194939858742e-05,"CDHR5"
"ENSG00000252010",337.589183926965,-6.60046526771969,0.765953316007735,-8.61732057264576,6.85390463737452e-18,7.50071015648675e-15,"SCARNA5"
"ENSG00000125780",13776.7162405498,-6.56126970441238,1.52135748605637,-4.31277314145301,1.61219520554114e-05,0.000314200147870359,"TGM3"
"ENSG00000169583",718.047134808627,-6.52944235528056,0.918804356723674,-7.10645558817725,1.19060946430373e-12,3.28786247207913e-10,"CLIC3"
"ENSG00000223336",48.3424091696891,-6.51436375666997,1.37723395474091,-4.73003423582847,2.24481977817487e-06,6.74770445630835e-05,"RNU2-6P"
"ENSG00000184270",69.9585178128168,-6.49206850853035,1.13609516686468,-5.7143703255483,1.10110975949329e-08,8.81723338035437e-07,"H2AC21"
"ENSG00000232406",47.3206632550655,-6.49146058027014,1.22441322110197,-5.30169102096745,1.14734909754119e-07,5.96596804123342e-06,"EPB41L1-AS1"
"ENSG00000239899",47.1495332114434,-6.48589735804862,1.3316592426563,-4.87053831061994,1.11294618804938e-06,3.86886281935094e-05,"RN7SL674P"
"ENSG00000212232",446.452875173247,-6.45411875838371,0.787366281652192,-8.19709823595765,2.46259195301821e-16,1.65374243244959e-13,"SNORD17"
"ENSG00000244230",45.3711074543324,-6.44735194250763,1.22874022896419,-5.24712367230186,1.54492196568914e-07,7.75031481191557e-06,"RN7SL151P"
"ENSG00000203616",45.2586428692852,-6.43128835764771,1.35086403815015,-4.76087021048735,1.92759988294488e-06,5.96405459070736e-05,"RHOT1P2"
