KRT14
KRT5
DSC3
LY6D
CLCA2
KRT6A
KRT16
LGALS7B
KRT6C
RAB38
SOX15
TENM2
P3H2
TP63
S100A2
FAM83A
LGALS7
GALNT18
CSTA
CDKN2A
IL20RB
NEFL
NDUFA4L2
GJB6
KLK8
